DATE,URL,R_avg,G_avg,B_avg,R_std,G_std,B_std,range,genre,historical,interior,landscape,mythological,other,portrait,religious,still-life,study
1651,https://www.wga.hu/art/d/dughet/landscap.jpg,154.8773168300382,124.7002741319156,99.63414354543944,52.64237403734331,56.47316695625215,53.41176385298175,249.84399999999997,0,0,0,1,0,0,0,0,0,0
1675,https://www.wga.hu/art/c/coli/colonna4.jpg,108.94334453781512,98.47655844155844,97.46418258212375,53.282872409633164,50.69491831616954,52.5578363566341,254.99999999999997,1,0,0,0,0,0,0,0,0,0
1507,https://www.wga.hu/art/c/carpacci/3schiavo/2/6seleni1.jpg,119.82370791075051,72.09643948613929,60.213494252873566,59.00502944553715,37.99870285720969,29.339871422561284,252.14999999999998,0,0,0,0,0,0,0,1,0,0
1499,https://www.wga.hu/art/s/signorel/brizio/5/8decora3.jpg,144.72346295387635,117.48508218842002,77.65622791952894,67.2789636730868,63.08667055097828,59.23257744034745,253.80399999999997,0,0,0,0,0,0,1,0,0,0
1545,https://www.wga.hu/art/c/cranach/lucas_y/23bless.jpg,73.36169358507735,54.611803912647865,40.04131255686988,58.155063087330305,41.511793136443295,28.522831145388608,243.78099999999998,0,0,0,0,0,0,0,1,0,0
1630,https://www.wga.hu/art/m/moreelse/young_b.jpg,91.74238456413673,84.14914364782453,82.41271562548044,99.41763378102735,100.95524421903336,101.13225346279356,254.99999999999997,0,0,0,0,0,0,1,0,0,0
1871,https://www.wga.hu/art/i/induno/waiting.jpg,120.15813577881194,111.11355324390911,103.95876950451684,67.1760586146616,68.13726511691394,66.42084435034441,254.99999999999997,1,0,0,0,0,0,0,0,0,0
1708,https://www.wga.hu/art/w/watteau/antoine/1/00chine1.jpg,166.24255459216442,145.86501284521515,123.2646371226718,51.943509685228875,57.65923083511943,63.78879390072296,235.127,1,0,0,0,0,0,0,0,0,0
1867,https://www.wga.hu/art/b/bazille/03renoir.jpg,97.29406633499171,89.87999170812604,82.73428026533996,68.8278628350229,67.07212229919381,63.60399032603292,254.772,0,0,0,0,0,0,1,0,0,0
1906,https://www.wga.hu/art/z/zuloaga/dwarf.jpg,64.43709337589785,55.89420643788242,63.44038733705773,41.63059040722606,40.12868624841035,38.386094626084784,241.926,0,0,0,0,0,0,1,0,0,0
1560,https://www.wga.hu/art/t/tintoret/3b/2upper/001inter.jpg,71.28349355328024,52.08334281380356,44.13864713689799,56.57751822962682,49.15333310008172,45.44099125819929,254.99999999999997,0,0,1,0,0,0,0,0,0,0
1649,https://www.wga.hu/art/t/thulden/forgevul.jpg,74.89021272554606,61.65911111111111,54.56573599240266,47.385591872685715,33.84595983340751,25.07976032051879,208.922,0,0,0,0,1,0,0,0,0,0
1740,https://www.wga.hu/art/b/bellotto/1/bello111.jpg,136.25861288690612,142.04882950834752,143.71602538748104,65.96323618161915,69.87290677782501,77.86834636011156,254.11399999999998,0,0,0,1,0,0,0,0,0,0
1433,https://www.wga.hu/art/a/angelico/04/3predel2.jpg,120.03237504308859,93.58699241640814,83.095301620131,61.802191090809565,55.29127230923726,44.592012174794206,251.64299999999997,0,0,0,0,0,0,0,1,0,0
1524,https://www.wga.hu/art/p/provost/coronat.jpg,105.83928433929862,89.03364695398645,62.67487703907497,61.84942725050711,57.400533221487045,49.517998738197456,234.15699999999998,0,0,0,0,0,0,0,1,0,0
1580,https://www.wga.hu/art/t/tintoret/7/7danae.jpg,76.78104566563468,59.67450851393189,47.96704643962848,58.846979526581805,52.61426414348686,37.412209693984884,241.019,0,0,0,0,1,0,0,0,0,0
1441,https://www.wga.hu/art/a/angelico/09/corridor/crucifi1.jpg,151.37002441731408,125.11496855345912,94.24293303736589,55.64075930789411,50.24376055586934,54.89846262069415,254.54399999999998,0,0,0,0,0,0,0,1,0,0
1725,https://www.wga.hu/art/d/desporte/stil_lif.jpg,72.44443291326908,64.26590066716086,51.31022979985174,49.658483036664805,46.186346323123814,36.72341037275881,237.42899999999997,0,0,0,0,0,0,0,0,1,0
1889,https://www.wga.hu/art/s/signac/1/cassis.jpg,147.80201498682268,134.29437871941974,128.9465844759711,61.191963107545995,58.70026459613513,61.24591826449339,245.95299999999997,0,0,0,1,0,0,0,0,0,0
1448,https://www.wga.hu/art/l/lippi/filippo/1440/10annun.jpg,137.08219763751762,107.96524947108604,75.82198695345556,64.90842904595762,56.74718050863854,59.326986149768125,247.98999999999998,0,0,0,0,0,0,0,1,0,0
1621,https://www.wga.hu/art/g/guercino/3/11aurora.jpg,115.40676418864908,109.9537106314948,86.42937729816147,56.56205113348001,49.4036214192111,48.85911353742924,252.44099999999997,0,0,0,0,1,0,0,0,0,0
1515,https://www.wga.hu/art/p/patenier/temptati.jpg,65.1934581171238,61.44113973313566,50.545868544600935,39.40476385327675,38.09188001353958,40.86978104993287,250.75699999999998,0,0,0,1,0,0,0,0,0,0
1507,https://www.wga.hu/art/m/massys/quentin/1/st_john4.jpg,120.25245942736508,84.20103971500198,66.22891278532788,60.34972394460067,58.703081294801116,47.56011947025003,252.989,0,0,0,0,0,0,0,1,0,0
1597,https://www.wga.hu/art/c/carracci/annibale/farnese/farnes08.jpg,153.92206438309086,121.37979659118392,106.84055829228242,53.74571002183976,54.95336233886145,47.78679641969151,250.885,0,0,0,0,1,0,0,0,0,0
1615,https://www.wga.hu/art/f/francken/frans2/baptism.jpg,90.40776128633271,96.15862225572047,82.70402945269016,45.530892084677,46.463029175127204,56.815533840560505,224.56799999999998,0,0,0,0,0,0,0,1,0,0
1732,https://www.wga.hu/art/r/restout/jean2/pentecos.jpg,126.74002761820591,102.69152231551038,84.61055567830314,62.09111256790056,60.115689105293825,51.53994568331433,254.13099999999997,0,0,0,0,0,0,0,1,0,0
1325,https://www.wga.hu/art/g/giotto/s_croce/2bardi/franc0.jpg,124.07729334350024,97.05354231974921,79.60822502753537,50.912291963711674,47.08907410492307,39.769828570112246,251.14799999999997,0,0,0,0,0,0,0,1,0,0
1517,https://www.wga.hu/art/m/massys/quentin/2/portraix.jpg,84.82053317535545,63.619516192733016,38.32504640600316,68.37900370076395,53.71273881181638,33.35580999872776,241.91899999999998,0,0,0,0,0,0,1,0,0,0
1885,https://www.wga.hu/art/c/cezanne/3/3figure3.jpg,88.20213235294118,89.6329168855042,84.5304162289916,66.7670059256404,65.1170448786783,64.01964547778216,254.772,0,0,0,0,0,0,1,0,0,0
